Id,Ten,Loai,ThuongHieu,Gia,SoLuong,Hinh,MoTa,NoiBat,NgayTao
1,Giày tập gym Yonex Prime Edge Đen,Giay,Yonex,"1,250,000",133,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Giày tập gym Yonex Prime Edge Đen thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
2,Vợt tennis Mizuno Energy Wave Xanh royal,Vot,Mizuno,"750,000",134,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Vợt tennis Mizuno Energy Wave Xanh royal thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
3,Giày cầu lông Asics Velocity X Bạc,Giay,Asics,"2,200,000",58,https://images.unsplash.com/photo-1556906781-9a412961c28c?q=80&w=1200&auto=format&fit=crop,"Giày cầu lông Asics Velocity X Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
4,Quần short thể thao Puma Elite Move Xám,Quan,Puma,"320,000",126,https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop,"Quần short thể thao Puma Elite Move Xám thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
5,Balo thể thao Mizuno Carbon Speed Đỏ,Phu kien,Mizuno,"720,000",100,https://images.unsplash.com/photo-1546519638-68e109498ffc?q=80&w=1200&auto=format&fit=crop,"Balo thể thao Mizuno Carbon Speed Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
6,Băng cổ tay Lining Prime Edge Xanh navy,Phu kien,Lining,"350,000",15,https://images.unsplash.com/photo-1579952363873-27f3bade9f55?q=80&w=1200&auto=format&fit=crop,"Băng cổ tay Lining Prime Edge Xanh navy thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
7,Tất thể thao Yonex Aero Boost Cam,Phu kien,Yonex,"550,000",177,https://images.unsplash.com/photo-1599058917212-d750089bc07e?q=80&w=1200&auto=format&fit=crop,"Tất thể thao Yonex Aero Boost Cam thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
8,Găng tay tập gym Lining Elite Move Bạc,Phu kien,Lining,"410,000",47,https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=80&w=1200&auto=format&fit=crop,"Găng tay tập gym Lining Elite Move Bạc thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
9,Bóng pickleball Sao Vang Aero Boost Đỏ hồng,Bong,Sao Vang,"1,240,000",19,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1200&auto=format&fit=crop,"Bóng pickleball Sao Vang Aero Boost Đỏ hồng thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
10,Giày pickleball Nike Rapid Force Đỏ,Giay,Nike,"1,450,000",102,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop,"Giày pickleball Nike Rapid Force Đỏ thiết kế hiện đại, chất liệu bền nhẹ, phù hợp tập luyện và thi đấu hằng ngày.",TRUE,2026-05-31
